Vectorization,Accuracy,Precision,Recall,F1-Score,ROC-AUC
TF-IDF,0.9787234042553191,1.0,0.9574468085106383,0.9782608695652174,0.9923042100497963
FastText,0.9184397163120568,0.9338235294117647,0.900709219858156,0.9169675090252708,0.9670539711282129
BERT-Base,0.9326241134751773,0.9357142857142857,0.9290780141843972,0.9323843416370107,0.9782707107288366
BERT-Large,0.9432624113475178,0.9699248120300752,0.9148936170212766,0.9416058394160584,0.9873748805392084
Albertina-Base,0.9148936170212766,0.920863309352518,0.9078014184397163,0.9142857142857143,0.9651928977415623
Albertina-Large,0.9184397163120568,0.946969696969697,0.8865248226950354,0.9157509157509157,0.9688647452341431
