Vectorization,Accuracy,Precision,Recall,F1-Score,ROC-AUC
TF-IDF,0.9539007092198581,0.9571428571428572,0.950354609929078,0.9537366548042705,0.990141340978824
FastText,0.9326241134751773,0.9621212121212122,0.900709219858156,0.9304029304029304,0.9794275941854031
BERT-Base,0.9219858156028369,0.9407407407407408,0.900709219858156,0.9202898550724637,0.9748503596398571
BERT-Large,0.900709219858156,0.924812030075188,0.8723404255319149,0.8978102189781022,0.9657713394698456
Albertina-Base,0.9148936170212766,0.9398496240601504,0.8865248226950354,0.9124087591240876,0.9632312257934711
Albertina-Large,0.8297872340425532,0.8394160583941606,0.8156028368794326,0.8273381294964028,0.9284241235350335
