Vectorization,Accuracy,Precision,Recall,F1-Score,ROC-AUC
FastText,0.8652482269503546,0.8759124087591241,0.851063829787234,0.8633093525179856,0.9381067350736884
BERT-Base,0.8865248226950354,0.943089430894309,0.8226950354609929,0.8787878787878788,0.9316432775011316
BERT-Large,0.7446808510638298,0.7674418604651163,0.7021276595744681,0.7333333333333333,0.7938232483275489
Albertina-Base,0.5886524822695035,0.8378378378378378,0.2198581560283688,0.34831460674157305,0.6027362808711836
Albertina-Large,0.7730496453900709,0.7938931297709924,0.7375886524822695,0.7647058823529411,0.8284543031034657
